Time, z, vz, sphericity, size
0.417500, 0.590380, 0.341029, 1.007540, 0.000000
0.420000, 0.591261, 0.341718, 1.007544, 0.000000
0.422500, 0.592147, 0.342396, 1.007550, 0.000000
0.425000, 0.593035, 0.343057, 1.007557, 0.000000
0.427500, 0.593928, 0.343695, 1.007565, 0.000000
0.430000, 0.594826, 0.344305, 1.007575, 0.000000
0.432500, 0.595727, 0.344887, 1.007586, 0.000000
0.435000, 0.596634, 0.345440, 1.007598, 0.000000
0.437500, 0.597545, 0.345963, 1.007609, 0.000000
0.440000, 0.598461, 0.346459, 1.007622, 0.000000
0.442500, 0.599382, 0.346926, 1.007635, 0.000000
0.445000, 0.600309, 0.347368, 1.007649, 0.000000
0.447500, 0.601240, 0.347786, 1.007664, 0.000000
0.450000, 0.602178, 0.348183, 1.007679, 0.000000
0.452500, 0.603121, 0.348561, 1.007696, 0.000000
0.455000, 0.604069, 0.348922, 1.007715, 0.000000
0.457500, 0.605025, 0.349269, 1.007734, 0.000000
0.460000, 0.605986, 0.349604, 1.007754, 0.000000
0.462500, 0.606954, 0.349929, 1.007774, 0.000000
0.465000, 0.607927, 0.350249, 1.007794, 0.000000
0.467500, 0.608906, 0.350568, 1.007813, 0.000000
0.470000, 0.609891, 0.350885, 1.007832, 0.000000
0.472500, 0.610880, 0.351201, 1.007849, 0.000000
0.475000, 0.611874, 0.351514, 1.007865, 0.000000
0.477500, 0.612871, 0.351823, 1.007879, 0.000000
0.480000, 0.613872, 0.352129, 1.007890, 0.000000
0.482500, 0.614875, 0.352434, 1.007897, 0.000000
0.485000, 0.615879, 0.352738, 1.007901, 0.000000
0.487500, 0.616885, 0.353041, 1.007902, 0.000000
0.490000, 0.617890, 0.353341, 1.007900, 0.000000
0.492500, 0.618894, 0.353636, 1.007895, 0.000000
0.495000, 0.619898, 0.353922, 1.007888, 0.000000
0.497500, 0.620899, 0.354201, 1.007879, 0.000000
0.500000, 0.621899, 0.354480, 1.007869, 0.000000
0.502500, 0.622896, 0.354760, 1.007856, 0.000000
0.505000, 0.623889, 0.355032, 1.007842, 0.000000
0.507500, 0.624879, 0.355289, 1.007826, 0.000000
0.510000, 0.625865, 0.355525, 1.007808, 0.000000
0.512500, 0.626846, 0.355735, 1.007789, 0.000000
0.515000, 0.627823, 0.355918, 1.007768, 0.000000
0.517500, 0.628794, 0.356070, 1.007747, 0.000000
0.520000, 0.629760, 0.356192, 1.007726, 0.000000
0.522500, 0.630721, 0.356284, 1.007704, 0.000000
0.525000, 0.631675, 0.356347, 1.007681, 0.000000
0.527500, 0.632624, 0.356382, 1.007659, 0.000000
0.530000, 0.633567, 0.356390, 1.007637, 0.000000
0.532500, 0.634504, 0.356373, 1.007617, 0.000000
0.535000, 0.635436, 0.356334, 1.007598, 0.000000
0.537500, 0.636362, 0.356276, 1.007580, 0.000000
0.540000, 0.637283, 0.356203, 1.007563, 0.000000
0.542500, 0.638200, 0.356119, 1.007547, 0.000000
0.545000, 0.639112, 0.356026, 1.007533, 0.000000
0.547500, 0.640020, 0.355929, 1.007521, 0.000000
0.550000, 0.640925, 0.355830, 1.007511, 0.000000
0.552500, 0.641826, 0.355732, 1.007503, 0.000000
0.555000, 0.642725, 0.355638, 1.007497, 0.000000
0.557500, 0.643621, 0.355547, 1.007493, 0.000000
0.560000, 0.644515, 0.355461, 1.007492, 0.000000
0.562500, 0.645409, 0.355379, 1.007492, 0.000000
0.565000, 0.646301, 0.355300, 1.007494, 0.000000
0.567500, 0.647193, 0.355224, 1.007496, 0.000000
0.570000, 0.648085, 0.355149, 1.007500, 0.000000
0.572500, 0.648976, 0.355075, 1.007505, 0.000000
0.575000, 0.649869, 0.354997, 1.007511, 0.000000
0.577500, 0.650763, 0.354915, 1.007519, 0.000000
0.580000, 0.651658, 0.354827, 1.007529, 0.000000
0.582500, 0.652556, 0.354735, 1.007539, 0.000000
0.585000, 0.653456, 0.354641, 1.007549, 0.000000
0.587500, 0.654359, 0.354546, 1.007560, 0.000000
0.590000, 0.655265, 0.354450, 1.007571, 0.000000
0.592500, 0.656173, 0.354354, 1.007582, 0.000000
0.595000, 0.657085, 0.354257, 1.007593, 0.000000
0.597500, 0.658000, 0.354161, 1.007604, 0.000000
0.600000, 0.658919, 0.354066, 1.007615, 0.000000
0.602500, 0.659840, 0.353973, 1.007626, 0.000000
0.605000, 0.660765, 0.353884, 1.007637, 0.000000
0.607500, 0.661693, 0.353797, 1.007648, 0.000000
0.610000, 0.662624, 0.353707, 1.007658, 0.000000
0.612500, 0.663558, 0.353613, 1.007668, 0.000000
0.615000, 0.664496, 0.353513, 1.007678, 0.000000
0.617500, 0.665436, 0.353406, 1.007688, 0.000000
0.620000, 0.666380, 0.353294, 1.007698, 0.000000
0.622500, 0.667327, 0.353178, 1.007708, 0.000000
0.625000, 0.668276, 0.353059, 1.007718, 0.000000
0.627500, 0.669229, 0.352936, 1.007727, 0.000000
0.630000, 0.670184, 0.352808, 1.007736, 0.000000
0.632500, 0.671141, 0.352670, 1.007744, 0.000000
0.635000, 0.672101, 0.352523, 1.007751, 0.000000
0.637500, 0.673061, 0.352365, 1.007756, 0.000000
0.640000, 0.674023, 0.352196, 1.007759, 0.000000
0.642500, 0.674984, 0.352018, 1.007759, 0.000000
0.645000, 0.675945, 0.351830, 1.007758, 0.000000
0.647500, 0.676905, 0.351633, 1.007755, 0.000000
0.650000, 0.677863, 0.351427, 1.007751, 0.000000
0.652500, 0.678819, 0.351213, 1.007744, 0.000000
0.655000, 0.679773, 0.350990, 1.007736, 0.000000
0.657500, 0.680724, 0.350760, 1.007727, 0.000000
0.660000, 0.681671, 0.350522, 1.007716, 0.000000
0.662500, 0.682614, 0.350276, 1.007704, 0.000000
0.665000, 0.683552, 0.350023, 1.007692, 0.000000
0.667500, 0.684486, 0.349763, 1.007679, 0.000000
0.670000, 0.685416, 0.349498, 1.007665, 0.000000
0.672500, 0.686340, 0.349229, 1.007650, 0.000000
0.675000, 0.687258, 0.348959, 1.007636, 0.000000
0.677500, 0.688171, 0.348687, 1.007621, 0.000000
0.680000, 0.689078, 0.348416, 1.007607, 0.000000
0.682500, 0.689980, 0.348146, 1.007592, 0.000000
0.685000, 0.690876, 0.347877, 1.007578, 0.000000
0.687500, 0.691766, 0.347609, 1.007564, 0.000000
0.690000, 0.692650, 0.347345, 1.007550, 0.000000
0.692500, 0.693529, 0.347085, 1.007537, 0.000000
0.695000, 0.694402, 0.346831, 1.007525, 0.000000
0.697500, 0.695271, 0.346587, 1.007513, 0.000000
0.700000, 0.696135, 0.346359, 1.007502, 0.000000
0.702500, 0.696995, 0.346149, 1.007491, 0.000000
0.705000, 0.697852, 0.345959, 1.007481, 0.000000
0.707500, 0.698705, 0.345789, 1.007471, 0.000000
