Time, z, vz, sphericity, size
0.015250, 0.501473, 0.213628, 1.008161, 0.000000
0.015500, 0.501525, 0.217115, 1.008161, 0.000000
0.015750, 0.501578, 0.220600, 1.008161, 0.000000
0.016000, 0.501632, 0.224082, 1.008160, 0.000000
0.016250, 0.501687, 0.227563, 1.008160, 0.000000
0.016500, 0.501743, 0.231042, 1.008160, 0.000000
0.016750, 0.501800, 0.234519, 1.008159, 0.000000
0.017000, 0.501857, 0.237993, 1.008159, 0.000000
0.017250, 0.501916, 0.241466, 1.008159, 0.000000
0.017500, 0.501976, 0.244937, 1.008158, 0.000000
0.017750, 0.502036, 0.248405, 1.008158, 0.000000
0.018000, 0.502097, 0.251872, 1.008158, 0.000000
0.018250, 0.502160, 0.255337, 1.008157, 0.000000
0.018500, 0.502223, 0.258799, 1.008157, 0.000000
0.018750, 0.502287, 0.262260, 1.008157, 0.000000
0.019000, 0.502352, 0.265718, 1.008156, 0.000000
0.019250, 0.502418, 0.269175, 1.008156, 0.000000
0.019500, 0.502485, 0.272630, 1.008155, 0.000000
0.019750, 0.502553, 0.276082, 1.008155, 0.000000
0.020000, 0.502622, 0.279533, 1.008155, 0.000000
0.020250, 0.502692, 0.282982, 1.008154, 0.000000
0.020500, 0.502763, 0.286428, 1.008154, 0.000000
0.020750, 0.502834, 0.289873, 1.008153, 0.000000
0.021000, 0.502907, 0.293316, 1.008153, 0.000000
0.021250, 0.502981, 0.296757, 1.008152, 0.000000
0.021500, 0.503055, 0.300195, 1.008152, 0.000000
0.021750, 0.503130, 0.303632, 1.008151, 0.000000
0.022000, 0.503207, 0.307067, 1.008151, 0.000000
0.022250, 0.503284, 0.310500, 1.008150, 0.000000
0.022500, 0.503362, 0.313931, 1.008150, 0.000000
0.022750, 0.503441, 0.317360, 1.008149, 0.000000
0.023000, 0.503522, 0.320787, 1.008149, 0.000000
0.023250, 0.503603, 0.324212, 1.008148, 0.000000
0.023500, 0.503685, 0.327635, 1.008148, 0.000000
0.023750, 0.503767, 0.331056, 1.008147, 0.000000
0.024000, 0.503851, 0.334475, 1.008147, 0.000000
0.024250, 0.503936, 0.337892, 1.008146, 0.000000
0.024500, 0.504022, 0.341307, 1.008145, 0.000000
0.024750, 0.504108, 0.344721, 1.008144, 0.000000
0.025000, 0.504196, 0.348132, 1.008144, 0.000000
0.025250, 0.504284, 0.351541, 1.008143, 0.000000
0.025500, 0.504374, 0.354949, 1.008143, 0.000000
0.025750, 0.504464, 0.358354, 1.008142, 0.000000
0.026000, 0.504556, 0.361757, 1.008141, 0.000000
0.026250, 0.504648, 0.365159, 1.008141, 0.000000
0.026500, 0.504741, 0.368559, 1.008140, 0.000000
0.026750, 0.504835, 0.371956, 1.008140, 0.000000
0.027000, 0.504930, 0.375351, 1.008140, 0.000000
0.027250, 0.505026, 0.378745, 1.008140, 0.000000
0.027500, 0.505123, 0.382137, 1.008139, 0.000000
0.027750, 0.505221, 0.385526, 1.008139, 0.000000
0.028000, 0.505320, 0.388914, 1.008138, 0.000000
0.028250, 0.505420, 0.392300, 1.008138, 0.000000
0.028500, 0.505521, 0.395684, 1.008137, 0.000000
0.028750, 0.505623, 0.399066, 1.008137, 0.000000
0.029000, 0.505725, 0.402446, 1.008136, 0.000000
0.029250, 0.505829, 0.405824, 1.008135, 0.000000
0.029500, 0.505933, 0.409199, 1.008135, 0.000000
0.029750, 0.506039, 0.412573, 1.008134, 0.000000
0.030000, 0.506145, 0.415945, 1.008134, 0.000000
0.030250, 0.506252, 0.419315, 1.008133, 0.000000
0.030500, 0.506361, 0.422683, 1.008132, 0.000000
0.030750, 0.506470, 0.426049, 1.008131, 0.000000
0.031000, 0.506580, 0.429413, 1.008131, 0.000000
