25050 4
1863 1 0.000000000000000e+00
1863 2 0.000000000000000e+00
1944 0 0.000000000000000e+00
1944 1 0.000000000000000e+00
1944 2 0.000000000000000e+00
2025 0 0.000000000000000e+00
2025 1 0.000000000000000e+00
2025 2 0.000000000000000e+00
2106 0 0.000000000000000e+00
2106 1 0.000000000000000e+00
2106 2 0.000000000000000e+00
2187 0 0.000000000000000e+00
2187 1 0.000000000000000e+00
2187 2 0.000000000000000e+00
2268 0 0.000000000000000e+00
2268 1 0.000000000000000e+00
2268 2 0.000000000000000e+00
2349 0 0.000000000000000e+00
2349 1 0.000000000000000e+00
2349 2 0.000000000000000e+00
2430 0 0.000000000000000e+00
2430 1 0.000000000000000e+00
2430 2 0.000000000000000e+00
2511 0 0.000000000000000e+00
2511 1 0.000000000000000e+00
2511 2 0.000000000000000e+00
2592 0 0.000000000000000e+00
2592 1 0.000000000000000e+00
2592 2 0.000000000000000e+00
2673 0 0.000000000000000e+00
2673 1 0.000000000000000e+00
2673 2 0.000000000000000e+00
2754 0 0.000000000000000e+00
2754 1 0.000000000000000e+00
2754 2 0.000000000000000e+00
2835 0 0.000000000000000e+00
2835 1 0.000000000000000e+00
2835 2 0.000000000000000e+00
2916 0 0.000000000000000e+00
2916 1 0.000000000000000e+00
2916 2 0.000000000000000e+00
2997 0 0.000000000000000e+00
2997 1 0.000000000000000e+00
2997 2 0.000000000000000e+00
3078 0 0.000000000000000e+00
3078 1 0.000000000000000e+00
3078 2 0.000000000000000e+00
3159 0 0.000000000000000e+00
3159 1 0.000000000000000e+00
3159 2 0.000000000000000e+00
3240 0 0.000000000000000e+00
3240 1 0.000000000000000e+00
3240 2 0.000000000000000e+00
3321 0 0.000000000000000e+00
3321 1 0.000000000000000e+00
3321 2 0.000000000000000e+00
3402 0 0.000000000000000e+00
3402 1 0.000000000000000e+00
3402 2 0.000000000000000e+00
3483 0 0.000000000000000e+00
3483 1 0.000000000000000e+00
3483 2 0.000000000000000e+00
3564 0 0.000000000000000e+00
3564 1 0.000000000000000e+00
3564 2 0.000000000000000e+00
3645 0 0.000000000000000e+00
3645 1 0.000000000000000e+00
3645 2 0.000000000000000e+00
3726 0 0.000000000000000e+00
3726 1 0.000000000000000e+00
3726 2 0.000000000000000e+00
3807 0 0.000000000000000e+00
3807 1 0.000000000000000e+00
3807 2 0.000000000000000e+00
3888 0 0.000000000000000e+00
3888 1 0.000000000000000e+00
3888 2 0.000000000000000e+00
3969 0 0.000000000000000e+00
3969 1 0.000000000000000e+00
3969 2 0.000000000000000e+00
4050 0 0.000000000000000e+00
4050 1 0.000000000000000e+00
4050 2 0.000000000000000e+00
4131 0 0.000000000000000e+00
4131 1 0.000000000000000e+00
4131 2 0.000000000000000e+00
4212 0 0.000000000000000e+00
4212 1 0.000000000000000e+00
4212 2 0.000000000000000e+00
4293 0 0.000000000000000e+00
4293 1 0.000000000000000e+00
4293 2 0.000000000000000e+00
4374 0 0.000000000000000e+00
4374 1 0.000000000000000e+00
4374 2 0.000000000000000e+00
4455 0 0.000000000000000e+00
4455 1 0.000000000000000e+00
4455 2 0.000000000000000e+00
4536 0 0.000000000000000e+00
4536 1 0.000000000000000e+00
4536 2 0.000000000000000e+00
4617 0 0.000000000000000e+00
4617 1 0.000000000000000e+00
4617 2 0.000000000000000e+00
4698 0 0.000000000000000e+00
4698 1 0.000000000000000e+00
4698 2 0.000000000000000e+00
4779 0 0.000000000000000e+00
4779 1 0.000000000000000e+00
4779 2 0.000000000000000e+00
4860 0 0.000000000000000e+00
4860 1 0.000000000000000e+00
4860 2 0.000000000000000e+00
4941 0 0.000000000000000e+00
4941 1 0.000000000000000e+00
4941 2 0.000000000000000e+00
5022 0 0.000000000000000e+00
5022 1 0.000000000000000e+00
5022 2 0.000000000000000e+00
5103 0 0.000000000000000e+00
5103 1 0.000000000000000e+00
5103 2 0.000000000000000e+00
5184 0 0.000000000000000e+00
